County,CountyDrinking,Population,Excessive,BirthDefectCases,Lower CI (%) (with nulls),BDPrevalence,Upper CI (%) (with nulls),Data Suppression (with nulls) (infants),Texas big cities,Texas small cities,Birth Defect,Color nulls supressed data (CI dash),Color nulls supressed data (infants),,,,,,Drinking Error Margin,DrinkingZ,Geometry (generated),Latitude (generated),Longitude (generated),GDPcap,FIPS,FIPS State,OverdoseRate,Standard Deviation,Lower Confidence Limit,Upper Confidence Limit,Urban/Rural Category,Census Division,Area,PopDensity,Age,BelowPoverty,SmokingRate,Chlamydia,TeenBirth,AirPollution,PhysEnvi,HousingProblem,Obesity,Diabetes,HigherBD,AfricanA,White
Bastrop,0.20,"97,216",19443.2,654,5.64%,0.0611,6.58%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-21%,1.22,"POLYGON((-97.6494 30.0679,-97.4925 30.21,-97.3692 30.4195,-97.3352 30.4032,-97.1996 30.3378,-97.0818 30.2594,-97.0245 30.0514,-97.3158 29.7865,-97.6494 30.0679))",30.1035,-97.3242,41175.00,48021,48,13.50159,1.06045,11.58313,15.73851,Medium Metro,7,888,135,36.8,22,17,801.0,36,10.1,215.00,15,35,10,0.06580,6.8,52.6
Baylor,0.17,"3,465",589.05,14,1.91%,0.0349,5.86%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-18%,-0.56,"POLYGON((-99.4757 33.834,-98.9531 33.834,-98.9539 33.3975,-99.4724 33.399,-99.4745 33.7338,-99.4757 33.834))",33.616,-99.2137,41270.00,48023,48,25.13294,5.39306,16.72738,37.7723,Noncore,7,867,4,42.5,30.3,15,304.0,41,7.8,39.00,8,29,13,0.05860,2.5,82.0
Bee,0.20,"31,047",6209.4,208,5.07%,0.0587,6.67%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-20%,0.91,"POLYGON((-97.8178 28.1768,-97.8088 28.1834,-98.0898 28.663,-98.0053 28.6902,-97.9188 28.7189,-97.8253 28.6703,-97.7787 28.668,-97.7323 28.6289,-97.6966 28.5417,-97.6465 28.5207,-97.6225 28.5296,-97.5587 28.5143,-97.554 28.4551,-97.4936 28.4389,-97.4469 28.4031,-97.4308 28.4129,-97.3757 28.3885,-97.5411 28.1647,-97.5676 28.1297,-97.8178 28.1768))",28.4248,-97.7101,41438.00,48025,48,9.43473,1.33261,7.18148,12.39567,Micropolitan,7,880,35,35.8,27,17,651.0,60,9.4,167.00,16,29,9,0.06670,8.3,31.2
Bell,0.20,"370,647",74129.4,"4,157",6.54%,0.0674,6.95%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-20%,0.9,"POLYGON((-97.9117 31.0349,-97.9071 31.0694,-97.4186 31.3202,-97.3434 31.2442,-97.2781 31.2798,-97.0702 30.9862,-97.2591 30.8896,-97.3155 30.7524,-97.6251 30.8704,-97.8285 30.9062,-97.9117 31.0349))",31.0402,-97.51,41722.00,48027,48,10.46051,0.47121,9.57773,11.42496,Medium Metro,7,"1,054",384,32.6,25.2,17,1148.6,44,10.1,172.00,15,31,10,0.06950,21.9,45.6
Bexar,0.19,"2,009,324",381771.56,"18,930",6.98%,0.0708,7.18%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-20%,0.63,"POLYGON((-98.8047 29.2507,-98.8066 29.6907,-98.779 29.72,-98.6461 29.7453,-98.6033 29.74,-98.5529 29.7602,-98.5275 29.7408,-98.4216 29.7432,-98.3393 29.722,-98.3805 29.7023,-98.379 29.6629,-98.3428 29.6525,-98.3455 29.6198,-98.3108 29.5945,-98.2985 29.5613,-98.2546 29.5406,-98.2328 29.5541,-98.1638 29.4784,-98.1264 29.4832,-98.1334 29.4424,-98.4073 29.1144,-98.8047 29.2507))",29.4377,-98.4722,42757.00,48029,48,15.00784,0.24914,14.52743,15.50428,Large Central Metro,7,"1,240","1,728",35,24.4,14,723.2,36,10.4,217.00,18,28,9,0.07180,7.3,27.7
Blanco,0.18,"11,374",2047.32,56,4.77%,0.0632,8.21%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-19%,0.15,"POLYGON((-98.5917 30.4999,-98.4115 30.5021,-98.3499 30.4858,-98.1256 30.4262,-98.173 30.3563,-98.2976 30.038,-98.414 29.9376,-98.5879 30.139,-98.5917 30.4999))",30.2172,-98.4077,44184.00,48031,48,12.78489,2.30206,9.05584,18.05154,Noncore,7,709,20,51.4,12.8,14,663.4,21,8.9,154.00,16,29,11,0.08210,1.1,76.7
Borden,0.21,631,132.51,,,,,Suppressed,,,Infants/Fetuses with Birth Defects,Suppressed, ,,,,,,20-22%,NA,"POLYGON((-101.6913 32.9618,-101.5574 32.961,-101.1734 32.9636,-101.1746 32.5277,-101.1746 32.5241,-101.6887 32.5252,-101.6913 32.9618))",32.7474,-101.4322,44202.00,48033,48,10.61023,3.33421,5.95635,18.89843,Noncore,7,897,1,50,13.8,11,,,7.1,,5,29,12,,1.5,77.3
Bosque,0.17,"18,235",3099.95,105,4.59%,0.0568,6.77%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-18%,-0.54,"POLYGON((-98.0055 32.0179,-97.8648 32.0873,-97.6309 32.2074,-97.6151 32.2036,-97.5685 32.1765,-97.5688 32.1505,-97.5161 32.1336,-97.5116 32.1618,-97.4761 32.1735,-97.4572 32.1627,-97.4941 32.1396,-97.4707 32.0867,-97.4921 32.0597,-97.486 32.0176,-97.4227 32.0079,-97.38 31.9727,-97.4388 31.9335,-97.3603 31.8907,-97.3828 31.8708,-97.331 31.8426,-97.2793 31.8413,-97.326 31.7911,-97.2772 31.7455,-97.6052 31.5878,-97.6898 31.711,-97.7664 31.6725,-98.0055 32.0179))",31.8982,-97.6486,44285.00,48035,48,15.82777,2.2448,12.03489,20.81817,Noncore,7,983,20,46.4,20,15,150.9,30,9.5,160.00,13,29,11,0.06770,1.7,77.6
Bowie,0.17,"92,893",15791.81,582,4.61%,0.0501,5.42%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.2,"POLYGON((-94.6523 33.2689,-94.6918 33.3124,-94.7303 33.3088,-94.7469 33.3289,-94.7461 33.703,-94.6848 33.6844,-94.6679 33.6946,-94.6392 33.6637,-94.6214 33.6826,-94.5908 33.6456,-94.5464 33.66,-94.5641 33.6263,-94.5281 33.6413,-94.5204 33.6175,-94.4859 33.6379,-94.3895 33.5467,-94.3536 33.544,-94.3455 33.5673,-94.3096 33.5517,-94.2836 33.5819,-94.2759 33.558,-94.2192 33.5561,-94.1843 33.5946,-94.1474 33.5652,-94.0824 33.5757,-94.0434 33.5523,-94.043 33.2712,-94.0561 33.298,-94.1402 33.294,-94.1663 33.3112,-94.2188 33.2964,-94.2298 33.2482,-94.3797 33.2557,-94.4157 33.284,-94.5179 33.2821,-94.53 33.2673,-94.6186 33.2468,-94.6523 33.2689))",33.4761,-94.3949,44294.00,48037,48,10.53403,0.87196,8.9636,12.38013,Small Metro,7,885,104,38.4,26.7,18,628.6,53,10.0,145.00,16,38,13,0.05420,24.6,63.7
Brazoria,0.19,"372,031",70685.89,"2,999",6.14%,0.0637,6.60%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-20%,0.84,"POLYGON((-95.5072 28.8254,-95.5675 28.8299,-95.5907 28.8698,-95.6414 28.9036,-95.6459 28.9387,-95.676 28.9645,-95.7653 28.9674,-95.7853 29.0396,-95.7677 29.0532,-95.8462 29.1078,-95.8447 29.2047,-95.874 29.2297,-95.8476 29.2626,-95.7978 29.3079,-95.7528 29.3245,-95.6544 29.2911,-95.5912 29.3271,-95.5723 29.3838,-95.5468 29.3972,-95.5498 29.4384,-95.4625 29.4392,-95.4241 29.5802,-95.3471 29.5857,-95.3304 29.5991,-95.2624 29.5935,-95.2539 29.5538,-95.2165 29.5561,-95.2331 29.4656,-95.0574 29.2013,-95.1496 29.1805,-95.2342 28.9926,-95.3856 28.8646,-95.5072 28.8254))",29.2123,-95.5313,44487.00,48039,48,14.06633,0.54336,13.04165,15.17187,Large Fringe Metro,7,"1,363",308,36.9,13.9,14,358.9,31,11.4,242.00,15,30,11,0.06600,13.5,47.3
Brazos,0.20,"233,849",46769.8,"1,438",5.05%,0.0532,5.60%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,19-21%,1.19,"POLYGON((-96.2994 30.3801,-96.2917 30.4434,-96.3407 30.4737,-96.3592 30.5426,-96.4178 30.5437,-96.4202 30.5844,-96.5175 30.6262,-96.6015 30.6431,-96.5678 30.6953,-96.4577 30.7443,-96.3874 30.864,-96.3362 30.9217,-96.2411 30.9737,-96.2081 30.9476,-96.2133 30.9114,-96.1683 30.823,-96.183 30.7924,-96.1626 30.7696,-96.1779 30.7095,-96.1641 30.659,-96.1879 30.5989,-96.1597 30.5673,-96.1197 30.4421,-96.0802 30.4301,-96.1471 30.3827,-96.155 30.3308,-96.1506 30.3703,-96.1995 30.3829,-96.2725 30.3585,-96.2994 30.3801))",30.6529,-96.3806,44559.00,48041,48,8.12541,0.51862,7.17253,9.20521,Small Metro,7,586,427,27.1,31.8,15,666.4,19,10.1,234.00,28,29,8,0.05600,10.4,55.9
Brewster,0.17,"9,546",1622.82,39,2.96%,0.0417,5.70%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.72,"POLYGON((-103.7927 29.2623,-103.7928 29.5002,-103.7974 29.8647,-103.7984 30.3035,-103.8007 30.4125,-103.44 30.6659,-102.8818 30.2755,-102.5668 30.0527,-102.3207 29.8789,-102.3648 29.8443,-102.3897 29.7819,-102.5174 29.7838,-102.548 29.745,-102.5724 29.7561,-102.623 29.7364,-102.6749 29.7443,-102.6934 29.6772,-102.7422 29.6307,-102.745 29.5932,-102.7683 29.5947,-102.7714 29.5489,-102.8084 29.5229,-102.831 29.4443,-102.8247 29.3973,-102.8399 29.3606,-102.8786 29.3539,-102.9032 29.254,-102.8706 29.2369,-102.8901 29.2088,-102.9502 29.1736,-102.9738 29.1855,-103.0325 29.1047,-103.0753 29.0923,-103.1007 29.0602,-103.1153 28.9853,-103.1533 28.9718,-103.2274 28.9915,-103.2792 28.9777,-103.2986 29.0068,-103.4337 29.045,-103.4506 29.0728,-103.5545 29.1585,-103.7192 29.1814,-103.7927 29.2623))",29.8231,-103.0823,44642.00,48043,48,16.61301,2.95212,11.81903,23.3561,Noncore,7,"6,184",2,43.5,16.9,15,492.1,28,6.3,9.00,16,29,11,0.05700,1.1,50.3
Briscoe,0.16,"1,435",229.6,,,,,Suppressed,,,Infants/Fetuses with Birth Defects,Suppressed, ,,,,,,15-17%,-1.02,"POLYGON((-101.0415 34.3124,-101.4716 34.3123,-101.4716 34.7475,-101.0907 34.7482,-100.9449 34.7483,-100.9461 34.3128,-101.0415 34.3124))",34.535,-101.2086,44662.00,48045,48,10.76301,3.29068,6.12711,18.90662,Noncore,7,900,2,45.2,33.1,16,996.7,,6.9,67.00,10,27,12,,3.0,69.0
Brooks,0.13,"7,076",919.88,70,4.95%,0.0635,8.03%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,13-14%,-2.42,"POLYGON((-98.5237 27.2651,-98.2325 27.2625,-98.0581 27.261,-97.9861 27.2605,-97.9859 27.2091,-97.9855 26.7809,-98.3207 26.7831,-98.4226 26.7835,-98.4179 27.0553,-98.4665 27.0547,-98.4673 27.142,-98.4929 27.1421,-98.4929 27.235,-98.5237 27.2651))",27.0383,-98.2019,44866.00,48047,48,10.46617,2.26721,6.94045,15.78678,Noncore,7,943,7,35.7,40.8,19,677.7,96,8.6,198.00,21,29,11,0.08030,0.5,7.0
Brown,0.18,"38,095",6857.1,194,4.10%,0.0477,5.44%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.11,"POLYGON((-99.2028 31.4671,-99.2036 31.7486,-99.1959 32.0792,-99.1187 32.0796,-98.9244 32.078,-98.6684 31.7005,-98.7601 31.6879,-98.78 31.6107,-98.9916 31.4842,-99.0183 31.4696,-99.0414 31.4905,-99.0906 31.4608,-99.2028 31.4671))",31.7664,-98.958,45103.00,48049,48,18.12838,1.84673,14.8696,22.10278,Micropolitan,7,944,42,42.2,25.2,18,527.8,38,8.3,123.00,11,32,12,0.05440,3.4,71.6
Burleson,0.18,"17,642",3175.56,109,4.41%,0.0543,6.45%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-19%,0.06,"POLYGON((-96.6409 30.2968,-96.6949 30.3203,-96.7407 30.3188,-96.7708 30.3661,-96.8243 30.4159,-96.8712 30.4361,-96.9195 30.5393,-96.9638 30.5571,-96.6214 30.7307,-96.5678 30.6953,-96.6015 30.6431,-96.5175 30.6262,-96.4202 30.5844,-96.4178 30.5437,-96.3592 30.5426,-96.3407 30.4737,-96.2917 30.4434,-96.2994 30.3801,-96.3582 30.372,-96.4953 30.3259,-96.6409 30.2968))",30.5133,-96.6354,45257.00,48051,48,12.17937,1.97231,8.91979,16.63193,Noncore,7,659,32,42.5,18.7,14,446.7,41,9.8,189.00,14,31,11,0.06450,12.3,65.0
Burnet,0.18,"49,130",8843.4,301,5.53%,0.0624,6.94%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,18-19%,0.32,"POLYGON((-98.4458 30.9214,-98.4145 30.9421,-98.4471 30.9518,-98.4592 31.0077,-98.4397 31.0295,-97.9117 31.0349,-97.8285 30.9062,-97.9629 30.7858,-98.0499 30.6242,-98.1164 30.5002,-98.097 30.4675,-98.1256 30.4262,-98.3499 30.4858,-98.3499 30.5584,-98.3988 30.5637,-98.4002 30.5984,-98.4379 30.6739,-98.4048 30.6757,-98.4145 30.7026,-98.3747 30.7464,-98.4287 30.7537,-98.4318 30.785,-98.3776 30.8357,-98.4215 30.8347,-98.4269 30.8673,-98.4575 30.8789,-98.4458 30.9214))",30.7338,-98.1859,45527.00,48053,48,14.35833,1.43098,11.82717,17.43222,Noncore,7,995,57,45,18.9,14,384.9,36,9.1,137.00,14,29,11,0.06940,1.7,73.4
Caldwell,0.18,"45,883",8258.94,309,4.99%,0.0562,6.24%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.03,"POLYGON((-97.875 29.8583,-97.8939 29.8837,-97.7924 29.9452,-97.7613 29.9873,-97.7102 30.0245,-97.6494 30.0679,-97.3158 29.7865,-97.3179 29.7847,-97.5977 29.6307,-97.6331 29.6499,-97.6994 29.6677,-97.7684 29.7189,-97.7803 29.7569,-97.8035 29.754,-97.843 29.8001,-97.8492 29.8432,-97.875 29.8583))",29.8519,-97.6266,45802.00,48055,48,9.4058,1.19736,7.35017,12.03699,Medium Metro,7,545,99,37.2,25.2,16,1071.0,40,10.1,134.00,16,29,10,0.06240,5.8,39.7
Calhoun,0.17,"20,106",3418.02,149,4.52%,0.0538,6.25%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.24,"MULTIPOLYGON(((-96.386 28.6748,-96.3235 28.6756,-96.3229 28.6419,-96.386 28.6748)),((-96.8201 28.1645,-96.8195 28.1676,-96.7037 28.198,-96.3875 28.3762,-96.4403 28.3188,-96.6878 28.1859,-96.8479 28.0651,-96.8201 28.1645)),((-96.891 28.5072,-96.9028 28.5665,-96.9305 28.5866,-96.8538 28.6352,-96.7228 28.6698,-96.6614 28.7026,-96.6121 28.6394,-96.6385 28.5719,-96.5667 28.5825,-96.4153 28.4637,-96.4322 28.4325,-96.6503 28.3325,-96.7084 28.4075,-96.7857 28.4476,-96.8076 28.432,-96.891 28.5072)),((-96.5736 28.7055,-96.4284 28.7071,-96.4348 28.603,-96.5615 28.6454,-96.5736 28.7055)))",28.5138,-96.695,46221.00,48057,48,13.57194,1.96094,10.26816,17.94015,Micropolitan,7,507,39,40.7,19.3,15,365.4,56,9.4,168.00,16,31,11,0.06250,2.5,42.4
Callahan,0.18,"13,708",2467.44,89,5.07%,0.0632,7.77%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-19%,0.06,"POLYGON((-99.6314 32.0813,-99.6296 32.5146,-99.612 32.5147,-99.1143 32.5148,-99.1187 32.0796,-99.1959 32.0792,-99.6314 32.0813))",32.2983,-99.3739,46478.00,48059,48,11.5456,2.05975,8.20281,16.25209,Noncore,7,899,16,43.4,20.5,16,280.3,31,7.9,152.00,15,28,11,0.07770,1.5,85.9
Cameron,0.15,"421,017",63152.55,"3,468",5.04%,0.0521,5.39%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,14-15%,-1.79,"POLYGON((-97.8619 26.0698,-97.8619 26.348,-97.5276 26.2993,-97.509 26.3336,-97.447 26.3249,-97.4177 26.3702,-97.3406 26.3318,-97.2955 26.1908,-97.3121 26.1216,-97.2365 26.0646,-97.2516 25.9643,-97.1527 26.0275,-97.1463 25.9556,-97.208 25.9636,-97.2772 25.9354,-97.3489 25.9308,-97.3744 25.9074,-97.3576 25.8869,-97.3737 25.84,-97.4539 25.8544,-97.4564 25.8838,-97.5218 25.8865,-97.5482 25.9355,-97.5826 25.9379,-97.6449 26.0275,-97.7067 26.0374,-97.7641 26.0286,-97.8013 26.06,-97.8355 26.0469,-97.8619 26.0698))",26.1073,-97.5787,46654.00,48061,48,5.75925,0.30964,5.18434,6.39806,Medium Metro,7,892,482,33,38.8,17,485.6,55,9.3,237.00,24,31,9,0.05390,0.4,8.9
Camp,0.17,"12,464",2118.88,92,4.08%,0.0506,6.21%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,16-17%,-0.66,"POLYGON((-95.1521 32.9025,-95.1522 33.0135,-95.1261 33.0346,-95.103 33.033,-95.0435 33.0698,-94.9451 33.075,-94.8626 33.0059,-94.8198 32.9829,-94.7709 32.9274,-94.7199 32.9045,-95.1521 32.9025))",32.99,-94.9935,46753.00,48063,48,12.05756,2.23927,8.45276,17.20114,Noncore,7,196,69,37.1,34.6,17,417.9,61,9.9,108.00,15,33,12,0.06210,15.9,55.8
Carson,0.21,"5,807",1219.47,30,3.74%,0.0555,7.92%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,20-22%,1.75,"POLYGON((-101.0863 35.1821,-101.6229 35.1831,-101.6228 35.6202,-101.6228 35.6241,-101.0861 35.6253,-101.0859 35.6191,-101.0863 35.1821))",35.3997,-101.3546,46891.00,48065,48,14.45264,3.13027,9.58384,21.79756,Noncore,7,920,7,41.6,12.4,13,703.6,20,7.0,29.00,7,30,11,0.07920,0.8,85.5
Cass,0.17,"28,454",4837.18,170,4.30%,0.0506,5.82%,,,,Infants/Fetuses with Birth Defects, –,of live births,,,,,,17-18%,-0.25,"POLYGON((-94.0431 32.8811,-94.654 32.8795,-94.6523 33.2689,-94.6186 33.2468,-94.53 33.2673,-94.5179 33.2821,-94.4157 33.284,-94.3797 33.2557,-94.2298 33.2482,-94.2188 33.2964,-94.1663 33.3112,-94.1402 33.294,-94.0561 33.298,-94.043 33.2712,-94.043 33.0192,-94.0431 32.8811))",33.101,-94.3483,47030.00,48067,48,12.62385,1.59669,9.88024,16.13034,Noncore,7,937,31,43.6,27.8,16,323.3,46,9.9,227.00,13,33,14,0.05820,16.7,76.5
